Material|Material_Description|Plnt|MS|Typ|Combo_Ind|BO_items|GrpValue|Curr|BO_quan|Avail_QTY|AltATP|SU|Altern?|MM_note|BO_Note|FocCust|lpostp|maxDlvDate|ResCount|maxiPDdel|maxRDdelay|maxPDdelay|RES_QTY|PO_qty|Next_PO|PO_qty1|Delivdate|TABCD|XYZ|PDT|ProcType|SPT|lastResc|PDcount|MRPCn|Name|key_plant
2156391|High performance nail X-P 24 B3 MX BULK|3000|40|X0|nan|8|21863276.0|CLP|221000.0|-221000.0|0|PC|0|nan|nan|X|2024-09-11|2024-09-24|18|19|51|19|108.000|300000.0|4536903312|24000.0|2024-08-19|A|X|60|F|4C|2024-09-11|1|L04|Angie Vergara|3000/2156391
84294|"Drywall screw 6x1-1/4"" PBH S CRS"|8650|40|X5|nan|1||CLP|175000.0|-175000.0|0|PC|0|nan|nan|X||2024-11-30|0|0|0|0|nan|272000.0|4537241037|16000.0|2024-10-14|D|Z|56|F|90||1|L10|Angie Vergara|8650/84294
408257|Basket clip X-BC-C47 P8|8650|40|X0|nan|5|11128143.0|CLP|117000.0|-117000.0|0|PC|0|nan|nan|X|2024-09-10|2024-10-16|2|3|14|3|219.000|405000.0|4537080967|128000.0|2024-07-22|T|X|56|F|90|2024-09-10|1|L04|Angie Vergara|8650/408257
2210175|Ultimate exp anc KB-TZ2 1/4x3 1/4|8650|40|X0|nan|3|26767440.0|CLP|21400.0|-21400.0|0|PC|0|nan|nan|X|2024-09-05|2024-10-25|5|22|26|22|nan|52000.0|4537272225|800.0|2024-09-04|A|X|42|F|4M|2024-09-05|1|L02|Ana Sousa|8650/2210175
2042971|Sheet metal nail X-HSN 24|8750|40|Y1|nan|7|2678601.0|CLP|20000.0|-19000.0|0|PC|0|nan|nan|nan||2025-01-07|0|0|12|0|3.000|5000.0|4537203272|1000.0|2024-09-10|D|Y|62|F|4C||1|L04|Angie Vergara|8750/2042971
228334|"Conduit clip X-EMTC 3/8"" MX"|3000|40|X6|nan|1||CLP|18200.0|-18200.0|0|PC|0|nan|nan|X|2024-08-27|2024-10-20|6|0|0|0|nan|43400.0|4536680903|9600.0|2024-05-21|B|Y|58|F|U0|2024-08-29|1|L04|Angie Vergara|3000/228334
2123994|Concrete nail X-C 24 B3 MX|3000|33|X0|nan|3|5787250.0|CLP|18000.0|-18000.0|0|PC|0|nan|nan|X|2024-09-04|2024-09-25|3|4|20|4|nan|530000.0|4536904767|96000.0|2024-08-19|T|X|58|F|U0|2024-09-04|1|L04|Angie Vergara|3000/2123994
2241622|Hexagon nut NU-HX-M8 A4|3000|33|X6|nan|1|1687833.0|CLP|13300.0|-13300.0|0|PC|0|nan|nan|X|2024-09-10|2024-09-25|25|1|52|1|8.000|13300.0|4537192944|13300.0|2024-08-14|D|Z|62|F|20|2024-09-10|1|L11|Reinaldo Vargas|3000/2241622
2241678|Washer WA-Ø16x1.6-M8 A4|3000|33|X6|nan|1|1073767.0|CLP|13000.0|-13000.0|0|PC|0|nan|nan|X|2024-09-10|2024-09-25|25|1|52|1|13.000|13000.0|4537192944|13000.0|2024-08-14|D|N|62|F|20|2024-09-10|1|L11|Reinaldo Vargas|3000/2241678
2091382|Concrete nail X-C 32 P8 BULK|3000|40|X6|nan|2|1329601.0|CLP|9000.0|-9000.0|0|PC|0|nan|nan|X|2024-09-13|2024-11-26|12|25|77|25|nan|4000.0|4536904770|4000.0|2024-08-19|D|Z|58|F|U0|2024-09-13|1|L04|Angie Vergara|3000/2091382
